graph_id,label,feat
0,4,
1,0,
2,4,
3,4,
4,4,
5,1,
6,0,
7,4,
8,0,
9,0,
10,0,
11,3,
12,4,
13,4,
14,0,
15,1,
16,0,
17,0,
18,0,
19,4,
20,4,
21,4,
22,3,
23,0,
24,0,
25,3,
26,1,
27,1,
28,1,
29,4,
30,2,
31,1,
32,1,
33,1,
34,1,
35,2,
36,1,
37,3,
38,4,
39,1,
40,1,
41,1,
42,1,
43,4,
44,0,
45,0,
46,4,
47,0,
48,0,
49,1,
50,0,
51,0,
52,0,
53,1,
54,1,
55,1,
56,1,
57,0,
58,0,
59,0,
60,1,
61,1,
62,0,
63,0,
64,4,
65,0,
66,4,
67,4,
68,1,
69,1,
70,4,
71,0,
72,1,
73,1,
74,1,
75,2,
76,4,
77,4,
78,1,
79,3,
80,0,
81,0,
82,0,
83,0,
84,3,
85,0,
86,4,
87,1,
88,0,
89,4,
90,0,
91,0,
92,0,
93,2,
94,1,
95,4,
96,4,
97,0,
98,1,
99,1,
100,1,
101,1,
102,2,
103,4,
104,2,
105,0,
106,1,
107,4,
108,4,
109,0,
110,4,
111,0,
112,1,
113,4,
114,0,
115,0,
116,0,
117,4,
118,4,
119,1,
120,0,
121,4,
122,1,
123,4,
124,0,
125,1,
126,1,
127,0,
128,0,
129,2,
130,2,
131,3,
132,1,
133,0,
134,4,
135,0,
136,1,
137,0,
138,1,
139,0,
140,3,
141,1,
142,4,
143,1,
144,1,
145,1,
146,3,
147,4,
148,1,
149,4,
150,1,
151,4,
152,1,
153,1,
154,4,
155,1,
156,0,
157,0,
158,2,
159,1,
160,0,
161,0,
162,0,
163,0,
164,4,
165,0,
166,3,
167,0,
168,4,
169,3,
170,0,
171,4,
172,4,
173,0,
174,0,
175,1,
176,0,
177,1,
178,1,
179,0,
180,1,
181,4,
182,2,
183,4,
184,0,
185,0,
186,1,
187,0,
188,4,
189,1,
190,0,
191,0,
192,1,
193,1,
194,0,
195,0,
196,4,
197,0,
198,4,
199,1,
200,4,
201,1,
202,0,
203,4,
204,4,
205,4,
206,4,
207,1,
208,4,
209,1,
210,1,
211,0,
212,1,
213,0,
214,1,
