v00,-1,-0.5,-0.5,e00,e03,e06,,,
v01,0,-0.5,-0.5,e00,e01,e04,e12,,
v02,0,0,-0.5,e01,e02,e07,e14,e20,
v03,-1,0,-0.5,e02,e03,e09,e22,,
v04,0,-0.5,0,e04,e05,e08,e16,e28,
v05,-1,-0.5,0,e05,e06,e11,e30,,
v06,0,0,0,e07,e08,e10,e19,e24,e31
v07,-1,0,0,e09,e10,e11,e27,e33,
v08,1,-0.5,-0.5,e12,e13,e15,,,
v09,1,0,-0.5,e13,e14,e17,e36,,
v10,1,-0.5,0,e15,e16,e18,e41,,
v11,1,0,0,e17,e18,e19,e39,e43,
v12,0,0.5,-0.5,e20,e21,e23,e37,,
v13,-1,0.5,-0.5,e21,e22,e25,,,
v14,0,0.5,0,e23,e24,e26,e40,e46,
v15,-1,0.5,0,e25,e26,e27,e48,,
v16,0,-0.5,0.5,e28,e29,e32,e42,,
v17,-1,-0.5,0.5,e29,e30,e35,,,
v18,0,0,0.5,e31,e32,e34,e45,e47,
v19,-1,0,0.5,e33,e34,e35,e50,,
v20,1,0.5,-0.5,e36,e37,e38,,,
v21,1,0.5,0,e38,e39,e40,e51,,
v22,1,-0.5,0.5,e41,e42,e44,,,
v23,1,0,0.5,e43,e44,e45,e52,,
v24,0,0.5,0.5,e46,e47,e49,e53,,
v25,-1,0.5,0.5,e48,e49,e50,,,
v26,1,0.5,0.5,e51,e52,e53,,,
