e00,-0.1,-0.5,-0.5,-0.9,-0.5,-0.5
e01,0,-0.1,-0.5,0,-0.4,-0.5
e02,-0.9,0,-0.5,-0.1,0,-0.5
e03,-1,-0.4,-0.5,-1,-0.1,-0.5
e04,0,-0.5,-0.4,0,-0.5,-0.1
e05,-0.1,-0.5,0,-0.9,-0.5,0
e06,-1,-0.5,-0.1,-1,-0.5,-0.4
e07,0,0,-0.4,0,0,-0.1
e08,0,-0.1,0,0,-0.4,0
e09,-1,0,-0.4,-1,0,-0.1
e10,-0.9,0,0,-0.1,0,0
e11,-1,-0.4,0,-1,-0.1,0
e12,0.9,-0.5,-0.5,0.1,-0.5,-0.5
e13,1,-0.1,-0.5,1,-0.4,-0.5
e14,0.1,0,-0.5,0.9,0,-0.5
e15,1,-0.5,-0.4,1,-0.5,-0.1
e16,0.9,-0.5,0,0.1,-0.5,0
e17,1,0,-0.4,1,0,-0.1
e18,1,-0.1,0,1,-0.4,0
e19,0.1,0,0,0.9,0,0
e20,0,0.4,-0.5,0,0.1,-0.5
e21,-0.9,0.5,-0.5,-0.1,0.5,-0.5
e22,-1,0.1,-0.5,-1,0.4,-0.5
e23,0,0.5,-0.4,0,0.5,-0.1
e24,0,0.4,0,0,0.1,0
e25,-1,0.5,-0.4,-1,0.5,-0.1
e26,-0.9,0.5,0,-0.1,0.5,0
e27,-1,0.1,0,-1,0.4,0
e28,0,-0.5,0.1,0,-0.5,0.4
e29,-0.1,-0.5,0.5,-0.9,-0.5,0.5
e30,-1,-0.5,0.4,-1,-0.5,0.1
e31,0,0,0.1,0,0,0.4
e32,0,-0.1,0.5,0,-0.4,0.5
e33,-1,0,0.1,-1,0,0.4
e34,-0.9,0,0.5,-0.1,0,0.5
e35,-1,-0.4,0.5,-1,-0.1,0.5
e36,1,0.4,-0.5,1,0.1,-0.5
e37,0.1,0.5,-0.5,0.9,0.5,-0.5
e38,1,0.5,-0.4,1,0.5,-0.1
e39,1,0.4,0,1,0.1,0
e40,0.1,0.5,0,0.9,0.5,0
e41,1,-0.5,0.1,1,-0.5,0.4
e42,0.9,-0.5,0.5,0.1,-0.5,0.5
e43,1,0,0.1,1,0,0.4
e44,1,-0.1,0.5,1,-0.4,0.5
e45,0.1,0,0.5,0.9,0,0.5
e46,0,0.5,0.1,0,0.5,0.4
e47,0,0.4,0.5,0,0.1,0.5
e48,-1,0.5,0.1,-1,0.5,0.4
e49,-0.9,0.5,0.5,-0.1,0.5,0.5
e50,-1,0.1,0.5,-1,0.4,0.5
e51,1,0.5,0.1,1,0.5,0.4
e52,1,0.4,0.5,1,0.1,0.5
e53,0.1,0.5,0.5,0.9,0.5,0.5
